Plot,Species,Abundance,PID,Incidence,Longitude,Latitude,Range_Edge_Distance,Forest_Cover_Percentage,Edge_Dist_in_km,posdistancekm,sqrtdistancekmpos,sqrt_dist_edge,forest_cover_prop
10,ametrida.centurio,2,PID0058,1,-5074632.229,-106252.15,606787.055,61.40670554,606.787055,606.787055,24.63304802,24.63304802,0.614067055
10,cormura.brevirostris,0,PID0058,0,-5074632.229,-106252.15,616185.0977,61.40670554,616.1850977,616.1850977,24.82307591,24.82307591,0.614067055
10,chiroderma.villosum,0,PID0058,0,-5074632.229,-106252.15,669598.9126,61.40670554,669.5989126,669.5989126,25.87660937,25.87660937,0.614067055
10,uroderma.magnirostrum,1,PID0058,1,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,mimon.bennettii,0,PID0058,0,-5074632.229,-106252.15,85716.00952,61.40670554,85.71600952,85.71600952,9.258294093,9.258294093,0.614067055
10,lonchorhina.aurita,0,PID0058,0,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,cynomops.greenhalli,0,PID0058,0,-5074632.229,-106252.15,436428.5362,61.40670554,436.4285362,436.4285362,20.89087208,20.89087208,0.614067055
10,lophostoma.silvicolum,0,PID0058,0,-5074632.229,-106252.15,565795.3334,61.40670554,565.7953334,565.7953334,23.78645273,23.78645273,0.614067055
10,phyllostomus.discolor,6,PID0058,1,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,saccopteryx.bilineata,0,PID0058,0,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,platyrrhinus.helleri,7,PID0058,1,-5074632.229,-106252.15,724886.819,61.40670554,724.886819,724.886819,26.92372224,26.92372224,0.614067055
10,carollia.perspicillata,287,PID0058,1,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,lonchophylla.thomasi,0,PID0058,0,-5074632.229,-106252.15,708707.5009,61.40670554,708.7075009,708.7075009,26.62156083,26.62156083,0.614067055
10,artibeus.gnomus,2,PID0058,1,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,mesophylla.macconnelli,0,PID0058,0,-5074632.229,-106252.15,617697.2815,61.40670554,617.6972815,617.6972815,24.85351648,24.85351648,0.614067055
10,vampyressa.bidens,1,PID0058,1,-5074632.229,-106252.15,560403.2608,61.40670554,560.4032608,560.4032608,23.67283804,23.67283804,0.614067055
10,chrotopterus.auritus,0,PID0058,0,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,micronycteris.megalotis,0,PID0058,0,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,phyllostomus.elongatus,1,PID0058,1,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
